H,Location,,,
085,0.87 ,,,
119,0.11 ,,,
130,0.30 ,,,
141,0.33 ,,,
152,0.18 ,,,
160,0.00 ,,,
173,0.60 ,,,
185,0.16 ,,,
206,1.20 ,,,
215,0.93 ,,,
227,1.23 ,,,
238,1.26 ,,,
250,0.15 ,,,
260,1.04 ,,,
272,1.38 ,,,
282,0.02 ,,,
293,0.65 ,,,
530,0.44 ,,,
541,0.28 ,,,
552,1.12 ,,,
563,1.18 ,,,
586,0.86 ,,,
596,1.49 ,,,
608,0.32 ,,,
635,0.45 ,,,
651,0.13 ,,,
663,0.42 ,,,
674,0.67 ,,,
686,0.86 ,,,
697,0.56 ,,,
709,1.23 ,,,
721,1.14 ,,,
733,0.61 ,,,
744,1.10 ,,,
756,0.61 ,,,
768,0.27 ,,,
779,0.02 ,,,
789,1.44 ,,,
801,0.25 ,,,
812,0.55 ,,,
824,0.04 ,,,
836,1.11 ,,,
848,1.38 ,,,
861,0.68 ,,,
871,0.28 ,,,
883,0.79 ,,,
897,0.45 ,,,
909,0.58 ,,,
916,0.34 ,,,
927,1.33 ,,,
940,0.65 ,,,
947,0.59 ,,,
956,1.10 ,,,
965,0.88 ,,,
976,0.90 ,,,
986,0.80 ,,,
995,0.34 ,,,
1018,1.00 ,,,
1026,1.40 ,,,
1036,1.01 ,,,
1046,0.91 ,,,
1050,1.50 ,,,
1061,1.29 ,,,
1072,0.72 ,,,
1080,0.53 ,,,
1091,1.11 ,,,
1102,0.07 ,,,
1112,0.87 ,,,
1122,0.25 ,,,
1131,1.29 ,,,
1142,0.90 ,,,
1150,0.51 ,,,
1162,0.35 ,,,
1175,0.56 ,,,
1187,0.58 ,,,
1196,1.06 ,,,
1206,0.20 ,,,
1222,1.50 ,,,
1229,0.95 ,,,
1242,1.30 ,,,
1260,0.00 ,,,
1275,0.65 ,,,
1290,0.12 ,,,
1298,1.09 ,,,
1307,1.37 ,,,
1322,0.25 ,,,
1332,0.35 ,,,
1345,1.16 ,,,
